[
84,2,2,3,3,2,2,2,3,1,1,4,4,2,1,1,2,1,2,2,1,1,1,3,1,3,2,3,3,1,2,5,7,
132,1,1,1,5,2,1,2,1,2,2,4,3,1,1,3,2,4,1,3,2,1,1,1,2,3,2,3,1,5,3,9,4,
8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1,2,
136,2,1,2,3,1,1,2,1,4,2,3,3,1,1,2,1,2,3,2,1,3,1,1,1,3,3,2,1,3,2,9,2,
85,3,2,3,3,1,2,1,3,1,2,4,2,5,3,2,1,1,2,2,1,1,1,3,3,3,3,3,3,5,4,5,7,
107,1,2,2,4,2,1,2,1,1,2,2,2,1,1,2,1,3,2,2,1,1,1,3,2,2,2,2,1,4,4,7,7,
33,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1,1,
117,2,1,2,5,2,2,2,1,1,1,1,1,5,1,2,4,3,3,3,2,1,1,1,1,3,3,3,1,2,3,8,1,
138,1,1,1,5,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,3,1,2,4,9,2,
12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1,0,
26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,3,
109,2,1,1,5,2,1,2,2,2,1,1,2,1,3,1,5,3,3,2,1,1,2,1,1,2,3,1,2,3,3,7,6,
49,1,2,2,3,2,1,1,1,1,2,3,3,3,1,2,2,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1,1,
80,2,2,2,4,2,2,2,1,1,1,1,3,4,1,2,4,1,2,2,1,3,1,1,1,3,3,3,2,4,4,4,3,
16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2,2,3,2,1,1,3,2,2,3,2,2,1,2,
73,1,2,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,3,2,3,3,3,6,
90,2,2,2,3,2,2,2,1,1,1,3,5,3,1,2,2,2,2,2,1,1,2,1,1,3,1,3,3,3,2,6,6,
70,2,1,2,4,2,2,1,1,1,1,2,2,2,1,2,3,1,1,2,1,1,1,2,1,3,2,3,1,3,2,3,5,
64,2,2,2,4,2,2,1,2,1,1,1,3,3,1,2,1,1,1,2,1,1,1,3,1,2,2,2,1,3,3,1,5,
10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,0,
47,2,2,2,3,2,2,1,1,1,1,1,2,3,1,2,5,2,2,2,1,1,1,1,1,2,2,3,1,4,2,1,5,
57,2,2,2,3,2,1,2,1,1,1,1,3,5,1,2,4,4,2,3,1,1,1,1,2,3,2,3,3,5,4,1,5,
40,2,1,2,3,2,2,1,1,1,2,1,3,1,1,2,4,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1,1,
100,2,2,2,3,2,2,2,1,4,2,3,4,2,1,2,1,3,2,2,1,1,1,1,1,3,2,3,2,2,2,7,7,
74,2,2,2,4,2,2,2,1,1,2,1,3,4,1,2,4,3,1,1,2,1,1,1,2,3,2,3,1,5,3,3,6,
42,3,2,2,3,1,2,2,2,1,2,1,4,2,1,2,2,3,2,2,1,1,2,1,1,3,2,2,3,4,3,1,1,
93,1,2,2,3,2,2,2,1,1,1,3,4,4,1,3,2,3,2,2,1,1,1,1,1,3,2,3,3,2,2,6,7,
83,2,2,2,4,1,2,1,2,1,1,3,1,3,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,5,7,
56,3,2,2,3,1,2,1,4,1,2,1,1,5,3,2,1,1,2,2,1,1,1,3,3,1,3,3,3,5,4,1,3,
52,2,1,3,3,1,1,2,1,1,1,1,2,5,1,2,1,1,2,2,1,1,2,1,1,2,3,3,1,3,3,1,4,
61,2,1,2,3,2,2,2,5,2,1,6,1,3,1,2,3,1,2,2,1,1,1,1,1,1,3,3,1,2,1,1,2,
97,1,2,2,4,2,1,1,1,2,3,2,2,3,1,4,2,2,3,2,1,1,1,1,1,3,2,3,2,2,3,7,7,
50,1,2,1,4,2,2,2,2,4,1,2,3,2,1,2,4,2,2,2,1,1,1,2,1,2,2,2,1,3,2,1,2,
112,1,1,1,5,2,1,2,1,1,2,3,3,1,1,3,2,1,2,2,2,2,1,1,1,3,1,3,3,4,3,8,2,
69,2,1,2,4,1,2,2,1,1,1,2,3,5,3,2,5,1,2,2,1,1,2,1,1,2,2,3,2,4,3,3,5,
31,2,2,2,5,1,1,1,1,1,2,1,1,5,1,2,4,2,2,2,1,1,1,2,1,2,3,3,3,5,4,1,5,
13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2,1,1,1,1,1,2,2,2,3,4,2,1,0,
44,1,2,2,3,2,2,1,1,1,1,2,3,3,1,2,1,2,2,2,1,1,2,1,1,3,1,3,3,3,2,1,4,
39,2,2,2,5,2,2,2,1,1,1,3,3,1,1,2,4,3,2,2,1,1,1,2,1,2,2,2,2,4,3,1,2,
87,2,2,2,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,3,2,5,4,5,5,
104,1,2,1,4,2,2,1,5,1,2,1,3,4,1,2,1,2,3,2,1,1,1,1,1,2,2,3,2,4,4,7,7,
20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2,1,2,1,1,1,3,2,2,3,2,3,1,3,
114,2,1,3,3,2,2,2,1,4,2,4,4,1,1,3,2,2,2,3,2,3,2,2,1,2,2,1,1,1,2,8,1,
135,1,1,2,4,2,1,2,1,2,3,1,1,2,1,4,3,2,2,2,2,1,1,1,1,2,1,2,1,2,3,9,1,
30,2,2,3,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5,
28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1,1,
37,2,2,3,4,1,2,1,3,1,1,1,1,2,2,4,3,1,1,3,1,1,2,2,1,2,1,2,1,4,3,1,2,
14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1,1,1,2,1,1,3,2,3,3,4,2,1,1,
27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2,1,1,1,1,1,3,3,3,2,2,1,1,1,
123,1,2,2,5,2,1,2,1,1,1,3,3,2,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,4,3,8,2,
66,1,2,2,3,2,2,1,3,1,1,2,4,3,1,2,4,1,1,2,1,3,2,2,1,2,1,2,1,2,2,1,2,
22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1,1,
115,2,1,2,5,1,1,2,4,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,8,2,
119,1,2,2,5,2,1,1,1,4,2,1,2,3,1,4,4,1,2,2,1,1,1,3,1,3,3,2,2,3,3,8,1,
129,1,1,2,4,2,1,1,1,4,3,3,4,2,1,4,2,2,1,1,2,1,1,1,1,3,2,2,1,2,2,9,0,
53,2,1,2,3,1,2,2,2,1,1,1,3,4,1,2,1,3,1,1,1,1,1,1,2,2,2,2,1,4,2,1,1,
